Objects
200
,,Global Angle bj_c1_bh:bj_c1_bh,,,,,,Global Angle bj_c1_cwm:bj_c1_cwm,,,,,,Global Angle bj_c1_h:bj_c1_h,,,,,,Global Angle bj_c1_p:bj_c1_p,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.015621,-0.780191,-0.004945,-429.572021,103.438049,1799.164307,0.006261,-0.011123,-0.016911,-367.371918,91.893066,900.272949,-0.017348,0.045667,-0.039593,-413.488251,180.758652,1146.667480,,,,,,
2,0,-0.015920,-0.780447,-0.004255,-429.576324,103.448578,1799.159424,0.006188,-0.011222,-0.016802,-367.386658,91.886040,900.275024,-0.017381,0.045583,-0.039604,-413.487213,180.759476,1146.667603,,,,,,
3,0,-0.015674,-0.780275,-0.004580,-429.577087,103.434128,1799.164062,0.006323,-0.011042,-0.016576,-367.376556,91.902840,900.273682,-0.017409,0.045521,-0.039274,-413.495575,180.737900,1146.664673,,,,,,
4,0,-0.015761,-0.780440,-0.004530,-429.576996,103.442070,1799.166504,0.006388,-0.011077,-0.016624,-367.367065,91.888176,900.269653,-0.017411,0.045581,-0.039258,-413.487946,180.731705,1146.667236,,,,,,
5,0,-0.015736,-0.780569,-0.004574,-429.586914,103.439064,1799.158813,0.007505,-0.008176,-0.020058,-367.699402,91.978867,900.202881,-0.017451,0.045765,-0.039219,-413.482178,180.725723,1146.668091,,,,,,
6,0,-0.015843,-0.780219,-0.004510,-429.581116,103.447891,1799.160156,0.006121,-0.010896,-0.016456,-367.378601,91.874046,900.279907,-0.017604,0.045502,-0.039239,-413.478058,180.728638,1146.656372,,,,,,
7,0,-0.015739,-0.780089,-0.004599,-429.596466,103.438225,1799.163208,0.005939,-0.011187,-0.016582,-367.356567,91.856804,900.297119,-0.017646,0.045680,-0.039235,-413.485565,180.725525,1146.664185,,,,,,
8,0,-0.016290,-0.780970,-0.003407,-429.523438,103.209160,1799.151123,0.007486,-0.007881,-0.019640,-367.665375,91.981407,900.214966,-0.017574,0.045664,-0.038986,-413.492188,180.710678,1146.670654,,,,,,
9,0,-0.015628,-0.780234,-0.004650,-429.582947,103.428200,1799.164185,0.007328,-0.007980,-0.019058,-367.662811,91.962021,900.226990,-0.017250,0.045450,-0.039071,-413.507660,180.707779,1146.655273,,,,,,
10,0,-0.015691,-0.780107,-0.004725,-429.576172,103.428993,1799.165894,0.006187,-0.011386,-0.016212,-367.326935,91.842010,900.279846,-0.017449,0.045596,-0.038933,-413.506256,180.696930,1146.661255,,,,,,
11,0,-0.016201,-0.781038,-0.003710,-429.526642,103.212334,1799.154053,0.007225,-0.007988,-0.018996,-367.653198,91.948250,900.212341,-0.017750,0.045289,-0.038782,-413.513458,180.697556,1146.644165,,,,,,
12,0,-0.016288,-0.780866,-0.003576,-429.520508,103.208321,1799.151123,0.007527,-0.007961,-0.018963,-367.646515,91.952072,900.209045,-0.017630,0.045711,-0.038691,-413.492676,180.681793,1146.660645,,,,,,
13,0,-0.015767,-0.780226,-0.004515,-429.581268,103.438560,1799.155884,0.007322,-0.007789,-0.019131,-367.646332,91.944458,900.214294,-0.017500,0.045527,-0.038531,-413.510559,180.672714,1146.652222,,,,,,
14,0,-0.015668,-0.780292,-0.004685,-429.573700,103.435738,1799.166138,0.007425,-0.008314,-0.019011,-367.632111,91.938118,900.227478,-0.017578,0.045660,-0.038430,-413.509705,180.670212,1146.656616,,,,,,
15,0,-0.015654,-0.780086,-0.004924,-429.570068,103.435753,1799.161987,0.007292,-0.008378,-0.018680,-367.628052,91.923553,900.213989,-0.017495,0.045598,-0.038446,-413.517853,180.664948,1146.661865,,,,,,
16,0,-0.015649,-0.780448,-0.004506,-429.586212,103.441025,1799.165405,0.007250,-0.007789,-0.018872,-367.632080,91.925049,900.218689,-0.017525,0.045548,-0.038240,-413.517639,180.650131,1146.661377,,,,,,
17,0,-0.015832,-0.780573,-0.004496,-429.581970,103.442490,1799.161377,0.007702,-0.007686,-0.018959,-367.642822,91.940559,900.206543,-0.017458,0.045497,-0.038303,-413.515381,180.649551,1146.656494,,,,,,
18,0,-0.015844,-0.780167,-0.004703,-429.583618,103.443192,1799.149414,0.007461,-0.007560,-0.018948,-367.648438,91.927292,900.210510,-0.017489,0.045476,-0.038012,-413.511536,180.636230,1146.672607,,,,,,
19,0,-0.015986,-0.780535,-0.003592,-429.531647,103.217735,1799.161621,0.007407,-0.007508,-0.018776,-367.631104,91.920082,900.216187,-0.017494,0.045631,-0.038255,-413.509460,180.645264,1146.679321,,,,,,
20,0,-0.015572,-0.780323,-0.004475,-429.592224,103.452209,1799.160400,0.006043,-0.011012,-0.015069,-367.286255,91.802765,900.289429,-0.017607,0.045523,-0.038169,-413.521118,180.636673,1146.662476,,,,,,
21,0,-0.015503,-0.780362,-0.004797,-429.582306,103.447067,1799.166016,0.007439,-0.007895,-0.018479,-367.598328,91.918884,900.229187,-0.017606,0.045484,-0.038099,-413.526825,180.638641,1146.664185,,,,,,
22,0,-0.015572,-0.780330,-0.004875,-429.581848,103.445908,1799.169556,0.007462,-0.007617,-0.018496,-367.610474,91.907211,900.213562,-0.017627,0.045525,-0.037936,-413.534302,180.625595,1146.663452,,,,,,
23,0,-0.015649,-0.780425,-0.004668,-429.578369,103.443634,1799.164307,0.007190,-0.007941,-0.018413,-367.598511,91.892555,900.230957,-0.017375,0.045629,-0.037894,-413.527954,180.619904,1146.670898,,,,,,
24,0,-0.015773,-0.780413,-0.004654,-429.579285,103.449760,1799.162964,0.007090,-0.007802,-0.017903,-367.580353,91.891983,900.238159,-0.017597,0.045503,-0.037838,-413.535583,180.616745,1146.660889,,,,,,
25,0,-0.015847,-0.780440,-0.004611,-429.582275,103.453766,1799.158936,0.007073,-0.008114,-0.018038,-367.573364,91.887085,900.232910,-0.017517,0.045553,-0.037694,-413.530579,180.605896,1146.661377,,,,,,
26,0,-0.015531,-0.780284,-0.004781,-429.581604,103.447556,1799.170898,0.007290,-0.007822,-0.018242,-367.591644,91.886925,900.229675,-0.017518,0.045557,-0.037708,-413.540100,180.601730,1146.660034,,,,,,
27,0,-0.015442,-0.780066,-0.004683,-429.574921,103.443024,1799.168579,0.007276,-0.007984,-0.017827,-367.588501,91.889145,900.226562,-0.017555,0.045751,-0.037770,-413.534760,180.598389,1146.674683,,,,,,
28,0,-0.015648,-0.780442,-0.004878,-429.575684,103.449326,1799.168213,0.006999,-0.007896,-0.017859,-367.584259,91.873009,900.229370,-0.017496,0.045637,-0.037608,-413.539032,180.592972,1146.665771,,,,,,
29,0,-0.015793,-0.780420,-0.004822,-429.570770,103.446526,1799.166260,0.007230,-0.007502,-0.017788,-367.577576,91.864792,900.221558,-0.017495,0.045564,-0.037525,-413.534271,180.574951,1146.666504,,,,,,
30,0,-0.015787,-0.780525,-0.004721,-429.579559,103.456680,1799.156128,0.007125,-0.007424,-0.018136,-367.599121,91.844780,900.225037,-0.017676,0.045638,-0.037582,-413.542572,180.575363,1146.670288,,,,,,
31,0,-0.015616,-0.780130,-0.005097,-429.566864,103.447151,1799.172852,0.007043,-0.007566,-0.017651,-367.565155,91.838448,900.245605,-0.017722,0.045643,-0.037468,-413.534180,180.573990,1146.664307,,,,,,
32,0,-0.015700,-0.780283,-0.004500,-429.576752,103.450523,1799.168213,0.007129,-0.008009,-0.017369,-367.545654,91.841759,900.233459,-0.017867,0.045387,-0.037289,-413.541901,180.575073,1146.650757,,,,,,
33,0,-0.015601,-0.780207,-0.004680,-429.566528,103.440315,1799.170654,0.007178,-0.007723,-0.017672,-367.561096,91.817711,900.230347,-0.017440,0.045412,-0.037241,-413.549286,180.556244,1146.659058,,,,,,
34,0,-0.015617,-0.780202,-0.005044,-429.565399,103.445282,1799.165894,0.006984,-0.007703,-0.017393,-367.550812,91.823624,900.242920,-0.017728,0.045508,-0.037002,-413.550354,180.545731,1146.644897,,,,,,
35,0,-0.015717,-0.780295,-0.004633,-429.582397,103.451073,1799.174683,0.006886,-0.007577,-0.017511,-367.554504,91.803001,900.239746,-0.017676,0.045581,-0.037072,-413.548126,180.542114,1146.659302,,,,,,
36,0,-0.015682,-0.780194,-0.004770,-429.562988,103.448418,1799.163208,0.006849,-0.008072,-0.016824,-367.525330,91.817268,900.247314,-0.017695,0.045579,-0.036951,-413.549347,180.527405,1146.655518,,,,,,
37,0,-0.015860,-0.780458,-0.004356,-429.581238,103.449692,1799.153687,0.007008,-0.007659,-0.017207,-367.548004,91.811043,900.233643,-0.017978,0.045432,-0.037002,-413.550934,180.537582,1146.652954,,,,,,
38,0,-0.015670,-0.780338,-0.004603,-429.576202,103.443291,1799.162598,0.006842,-0.008101,-0.016641,-367.500671,91.795113,900.244812,-0.017871,0.045441,-0.036763,-413.568451,180.519226,1146.653198,,,,,,
39,0,-0.015602,-0.780348,-0.004954,-429.555267,103.438164,1799.162354,0.006968,-0.007695,-0.017370,-367.554749,91.792419,900.237244,-0.017799,0.045573,-0.036736,-413.562714,180.521652,1146.661377,,,,,,
40,0,-0.015741,-0.780205,-0.004450,-429.571503,103.432381,1799.165161,0.006950,-0.007820,-0.016879,-367.514008,91.777580,900.245056,-0.017910,0.045448,-0.036696,-413.557434,180.512695,1146.655640,,,,,,
41,0,-0.015614,-0.780278,-0.004635,-429.573334,103.438820,1799.163940,0.006743,-0.007621,-0.017058,-367.536530,91.759056,900.249451,-0.017720,0.045586,-0.036540,-413.574493,180.503265,1146.649536,,,,,,
42,0,-0.015842,-0.780242,-0.004694,-429.567108,103.443985,1799.167603,0.006724,-0.007982,-0.016511,-367.497864,91.761154,900.250854,-0.017925,0.045533,-0.036607,-413.563599,180.508209,1146.654053,,,,,,
43,0,-0.015766,-0.780180,-0.004639,-429.573883,103.437881,1799.161621,0.006711,-0.008026,-0.016483,-367.493683,91.749619,900.256409,-0.017856,0.045551,-0.036597,-413.585724,180.493683,1146.649048,,,,,,
44,0,-0.015664,-0.780433,-0.004729,-429.566559,103.439034,1799.163574,0.005618,-0.011108,-0.013419,-367.181152,91.643570,900.312683,-0.018146,0.045581,-0.036449,-413.577393,180.486115,1146.644165,,,,,,
45,0,-0.015754,-0.780420,-0.004552,-429.583252,103.432541,1799.167603,0.006764,-0.007779,-0.016643,-367.497131,91.748940,900.259888,-0.017867,0.045546,-0.036300,-413.585266,180.478455,1146.655762,,,,,,
46,0,-0.015542,-0.780162,-0.004705,-429.571991,103.438675,1799.158325,0.005640,-0.011044,-0.013110,-367.168915,91.631523,900.305115,-0.018159,0.045401,-0.036336,-413.577423,180.474304,1146.643066,,,,,,
47,0,-0.015771,-0.780241,-0.004791,-429.564728,103.442719,1799.158813,0.006951,-0.007861,-0.016829,-367.506409,91.745758,900.252014,-0.017882,0.045666,-0.036254,-413.596466,180.462616,1146.659790,,,,,,
48,0,-0.015874,-0.780116,-0.004690,-429.566589,103.439087,1799.155029,0.005619,-0.011064,-0.012996,-367.167206,91.639374,900.313171,-0.017639,0.045632,-0.036168,-413.578644,180.457413,1146.660400,,,,,,
49,0,-0.015732,-0.780349,-0.004182,-429.590790,103.441711,1799.158813,0.006742,-0.007860,-0.016181,-367.487335,91.726555,900.252869,-0.017986,0.045497,-0.036155,-413.597656,180.460266,1146.640747,,,,,,
50,0,-0.015621,-0.780160,-0.004487,-429.591370,103.435303,1799.161377,0.005625,-0.010752,-0.012842,-367.171722,91.626587,900.307434,-0.018034,0.045614,-0.036063,-413.596863,180.448959,1146.654419,,,,,,
51,0,-0.015632,-0.780672,-0.004868,-429.575500,103.438347,1799.166382,0.006668,-0.007776,-0.016178,-367.503204,91.711884,900.252441,-0.017820,0.045629,-0.035959,-413.611084,180.443329,1146.659058,,,,,,
52,0,-0.015448,-0.780183,-0.004754,-429.582306,103.431313,1799.163208,0.006707,-0.008278,-0.016163,-367.492188,91.715370,900.257263,-0.017967,0.045489,-0.035874,-413.611633,180.435883,1146.649658,,,,,,
53,0,-0.015580,-0.780210,-0.004338,-429.576538,103.432777,1799.169189,0.006826,-0.007744,-0.016155,-367.506256,91.713112,900.239868,-0.018056,0.045693,-0.035831,-413.611267,180.436935,1146.658813,,,,,,
54,0,-0.015887,-0.780110,-0.004698,-429.576965,103.426773,1799.160400,0.006485,-0.007761,-0.015910,-367.490784,91.689888,900.256897,-0.018023,0.045623,-0.035850,-413.612976,180.433655,1146.653809,,,,,,
55,0,-0.015688,-0.780291,-0.004716,-429.586853,103.445862,1799.165039,0.006566,-0.008198,-0.015685,-367.464691,91.711983,900.260742,-0.017991,0.045609,-0.035899,-413.628876,180.429977,1146.657837,,,,,,
56,0,-0.015583,-0.780214,-0.004696,-429.582458,103.436615,1799.165894,0.005682,-0.010947,-0.012592,-367.172058,91.601044,900.308289,-0.017866,0.045753,-0.035937,-413.617462,180.428665,1146.660034,,,,,,
57,0,-0.015626,-0.780221,-0.004477,-429.602722,103.439537,1799.165161,0.006805,-0.008062,-0.016238,-367.495911,91.706940,900.256226,-0.017760,0.045582,-0.035718,-413.632996,180.422531,1146.658936,,,,,,
58,0,-0.015557,-0.780501,-0.004782,-429.585144,103.433937,1799.162476,0.006800,-0.007642,-0.015799,-367.496887,91.698204,900.248169,-0.017864,0.045560,-0.035546,-413.628296,180.414520,1146.656616,,,,,,
59,0,-0.015712,-0.780327,-0.004718,-429.590027,103.442177,1799.167603,0.005445,-0.010912,-0.012381,-367.173279,91.588646,900.319153,-0.018000,0.045563,-0.035508,-413.620819,180.402740,1146.655273,,,,,,
60,0,-0.015491,-0.780487,-0.004532,-429.582733,103.443832,1799.167358,0.006768,-0.008110,-0.015642,-367.486298,91.695595,900.247070,-0.018038,0.045728,-0.035611,-413.641571,180.420380,1146.658691,,,,,,
61,0,-0.015667,-0.780303,-0.004597,-429.580078,103.456100,1799.167725,0.006580,-0.007613,-0.015691,-367.498077,91.673500,900.262817,-0.018115,0.045540,-0.035551,-413.630554,180.407654,1146.649170,,,,,,
62,0,-0.015741,-0.780293,-0.005096,-429.570618,103.453102,1799.166870,0.006623,-0.007674,-0.015939,-367.487671,91.688774,900.268250,-0.017995,0.045744,-0.035234,-413.636230,180.394150,1146.658936,,,,,,
63,0,-0.015725,-0.780146,-0.004725,-429.579468,103.438774,1799.164062,0.006597,-0.007917,-0.015417,-367.475830,91.679810,900.260925,-0.018136,0.045536,-0.035473,-413.652649,180.409241,1146.644775,,,,,,
64,0,-0.015417,-0.780270,-0.004740,-429.572479,103.432976,1799.169678,0.006739,-0.007923,-0.015321,-367.465729,91.676407,900.264282,-0.018143,0.045590,-0.035485,-413.639740,180.397217,1146.650879,,,,,,
65,0,-0.016310,-0.780846,-0.003484,-429.522644,103.218269,1799.151123,0.006574,-0.007771,-0.015448,-367.471863,91.668320,900.270874,-0.018158,0.045432,-0.035415,-413.649506,180.401611,1146.639893,,,,,,
66,0,-0.016213,-0.780779,-0.003703,-429.528290,103.219963,1799.163940,0.005393,-0.010998,-0.012183,-367.161591,91.570587,900.324829,-0.018000,0.045493,-0.035212,-413.648712,180.377563,1146.647827,,,,,,
67,0,-0.015867,-0.780276,-0.004645,-429.569641,103.449745,1799.158936,0.006577,-0.007957,-0.015192,-367.453033,91.663521,900.263062,-0.017928,0.045575,-0.035240,-413.653717,180.378128,1146.657959,,,,,,
68,0,-0.015865,-0.780313,-0.004658,-429.587128,103.448120,1799.162842,0.005597,-0.010882,-0.011956,-367.155548,91.574432,900.307129,-0.018127,0.045380,-0.035198,-413.664490,180.378647,1146.642212,,,,,,
69,0,-0.015561,-0.780216,-0.004815,-429.572388,103.449348,1799.168335,0.006734,-0.007790,-0.015556,-367.482208,91.664909,900.258423,-0.018180,0.045606,-0.035130,-413.646057,180.383759,1146.660034,,,,,,
70,0,-0.015600,-0.780303,-0.004734,-429.575195,103.442574,1799.166382,0.006775,-0.007488,-0.015276,-367.484650,91.662971,900.258667,-0.017946,0.045613,-0.035262,-413.658813,180.387436,1146.657837,,,,,,
71,0,-0.015597,-0.780498,-0.004636,-429.579163,103.451500,1799.165771,0.006629,-0.007820,-0.015212,-367.475677,91.652260,900.262146,-0.018135,0.045576,-0.034966,-413.677429,180.358963,1146.649536,,,,,,
72,0,-0.015772,-0.780367,-0.004310,-429.573944,103.434525,1799.161987,0.006462,-0.008000,-0.014916,-367.466553,91.646873,900.268982,-0.018080,0.045523,-0.034999,-413.669220,180.359665,1146.649902,,,,,,
73,0,-0.015848,-0.780361,-0.004387,-429.586731,103.453796,1799.159790,0.006514,-0.007997,-0.015020,-367.454132,91.643784,900.271667,-0.018023,0.045680,-0.034854,-413.667664,180.339340,1146.650391,,,,,,
74,0,-0.015768,-0.780187,-0.004886,-429.569366,103.443520,1799.160522,0.005568,-0.011163,-0.011755,-367.132538,91.560043,900.317932,-0.017916,0.045801,-0.034977,-413.666107,180.352707,1146.661987,,,,,,
75,0,-0.015776,-0.780418,-0.004789,-429.582153,103.451370,1799.164673,0.005471,-0.010953,-0.012006,-367.167725,91.543945,900.319641,-0.018095,0.045767,-0.034861,-413.671814,180.350998,1146.664917,,,,,,
